City,Date,AQI,PM2.5,PM10,NO2,SO2,CO
Delhi,2019-04-19,240,179,80,20,35,3
Delhi,2019-04-20,217,208,228,51,26,2
Delhi,2019-04-21,218,133,302,40,40,2
Delhi,2019-04-22,248,147,140,30,38,0
Delhi,2019-04-23,227,54,152,22,43,2
Delhi,2019-04-24,224,110,314,32,29,4
Delhi,2019-04-25,233,194,266,59,12,2
Delhi,2019-04-26,198,188,145,94,32,0
Delhi,2019-04-27,199,95,262,46,33,4
Delhi,2019-04-28,229,277,379,72,29,1
Delhi,2019-04-29,210,174,151,24,44,2
Delhi,2019-04-30,231,265,230,22,36,0
Delhi,2019-05-01,219,169,110,92,17,1
Delhi,2019-05-02,245,211,254,48,18,4
Delhi,2019-05-03,207,98,377,88,43,1
Delhi,2019-05-04,227,170,183,36,48,0
Delhi,2019-05-05,212,224,357,26,40,1
Delhi,2019-05-06,220,64,131,78,34,4
Delhi,2019-05-07,233,74,104,50,32,1
Delhi,2019-05-08,202,284,180,26,46,4
Delhi,2019-05-09,214,265,198,94,28,4
Delhi,2019-05-10,206,271,267,83,16,2
Delhi,2019-05-11,235,131,302,39,32,4
Delhi,2019-05-12,211,252,175,47,32,4
Delhi,2019-05-13,211,109,193,33,26,4
Delhi,2019-05-14,230,193,103,86,11,0
Delhi,2019-05-15,230,284,367,81,19,0
Delhi,2019-05-16,215,159,356,27,49,1
Delhi,2019-05-17,227,238,349,85,35,1
Delhi,2019-05-18,233,75,124,50,35,2
Delhi,2019-05-19,245,209,304,28,36,2
Delhi,2019-05-20,221,252,228,98,48,4
Delhi,2019-05-21,199,199,197,37,34,0
Delhi,2019-05-22,222,189,327,68,36,0
Delhi,2019-05-23,196,95,95,84,6,2
Delhi,2019-05-24,236,297,164,27,9,1
Delhi,2019-05-25,225,52,191,66,37,3
Delhi,2019-05-26,193,224,238,69,15,3
Delhi,2019-05-27,246,129,207,20,26,4
Delhi,2019-05-28,245,243,123,82,14,4
Delhi,2019-05-29,210,152,252,64,31,1
Delhi,2019-05-30,242,51,396,51,37,4
Delhi,2019-05-31,196,51,226,50,30,2
Delhi,2019-06-01,202,62,365,83,34,4
Delhi,2019-06-02,185,292,276,50,48,2
Delhi,2019-06-03,188,290,344,65,10,3
Delhi,2019-06-04,188,119,203,26,32,2
Delhi,2019-06-05,176,209,358,74,23,4
Delhi,2019-06-06,198,199,157,62,21,2
Delhi,2019-06-07,170,112,254,34,5,0
Delhi,2019-06-08,189,124,217,47,6,0
Delhi,2019-06-09,193,198,317,65,43,4
Delhi,2019-06-10,177,145,144,85,25,3
Delhi,2019-06-11,204,280,102,92,8,4
Delhi,2019-06-12,223,204,115,32,42,0
Delhi,2019-06-13,211,54,281,57,5,2
Delhi,2019-06-14,188,56,343,44,27,2
Delhi,2019-06-15,199,183,95,97,6,2
Delhi,2019-06-16,213,75,140,21,16,3
Delhi,2019-06-17,201,168,285,26,5,2
Delhi,2019-06-18,171,77,320,81,20,1
Delhi,2019-06-19,202,156,102,31,49,4
Delhi,2019-06-20,214,241,109,35,35,2
Delhi,2019-06-21,221,140,224,64,35,3
Delhi,2019-06-22,216,125,348,77,37,1
Delhi,2019-06-23,222,99,190,41,37,1
Delhi,2019-06-24,207,209,298,34,42,2
Delhi,2019-06-25,224,247,377,41,15,2
Delhi,2019-06-26,174,276,343,52,43,0
Delhi,2019-06-27,204,276,95,95,33,1
Delhi,2019-06-28,221,106,212,57,18,0
Delhi,2019-06-29,191,108,158,61,24,1
Delhi,2019-06-30,182,203,111,68,12,1
Delhi,2019-07-01,224,259,149,51,14,3
Delhi,2019-07-02,200,114,322,74,31,3
Delhi,2019-07-03,215,164,312,87,18,2
Delhi,2019-07-04,174,201,195,98,41,3
Delhi,2019-07-05,203,163,180,50,42,0
Delhi,2019-07-06,180,160,234,70,7,0
Delhi,2019-07-07,216,226,271,56,49,0
Delhi,2019-07-08,200,285,92,35,34,3
Delhi,2019-07-09,220,156,383,31,48,1
Delhi,2019-07-10,179,203,116,44,36,3
Delhi,2019-07-11,184,137,145,47,43,1
Delhi,2019-07-12,212,245,253,34,39,0
Delhi,2019-07-13,215,220,173,49,32,1
Delhi,2019-07-14,219,56,316,99,18,2
Delhi,2019-07-15,181,237,353,93,6,1
Delhi,2019-07-16,228,115,334,37,15,0
Delhi,2019-07-17,183,216,285,33,17,0
Delhi,2019-07-18,182,131,112,20,33,1
Delhi,2019-07-19,197,295,320,94,15,3
Delhi,2019-07-20,222,157,101,90,38,4
Delhi,2019-07-21,197,154,294,41,42,1
Delhi,2019-07-22,219,286,113,79,14,2
Delhi,2019-07-23,200,229,308,92,6,2
Delhi,2019-07-24,202,203,354,70,31,4
Delhi,2019-07-25,226,125,173,83,28,4
Delhi,2019-07-26,194,88,200,63,28,4
Delhi,2019-07-27,183,286,381,61,43,1
Delhi,2019-07-28,204,98,134,44,45,4
Delhi,2019-07-29,223,101,201,61,44,4
Delhi,2019-07-30,218,268,168,44,47,4
Delhi,2019-07-31,226,126,111,42,13,4
Delhi,2019-08-01,209,201,184,73,9,0
Delhi,2019-08-02,196,202,292,62,39,2
Delhi,2019-08-03,201,246,384,63,21,1
Delhi,2019-08-04,215,264,261,51,8,1
Delhi,2019-08-05,182,66,80,75,14,2
Delhi,2019-08-06,221,289,253,30,12,4
Delhi,2019-08-07,221,91,385,53,49,0
Delhi,2019-08-08,183,68,150,91,5,2
Delhi,2019-08-09,175,172,220,69,9,3
Delhi,2019-08-10,224,87,243,21,18,2
Delhi,2019-08-11,201,56,189,99,9,2
Delhi,2019-08-12,199,206,184,90,19,0
Delhi,2019-08-13,225,239,316,49,32,4
Delhi,2019-08-14,217,74,259,50,21,4
Delhi,2019-08-15,173,131,289,74,34,2
Delhi,2019-08-16,210,99,277,86,21,3
Delhi,2019-08-17,214,287,360,34,16,4
Delhi,2019-08-18,226,230,368,23,24,4
Delhi,2019-08-19,194,150,206,21,44,0
Delhi,2019-08-20,193,256,174,41,21,1
Delhi,2019-08-21,176,247,83,53,18,2
Delhi,2019-08-22,215,288,350,47,21,0
Delhi,2019-08-23,213,130,182,99,28,2
Delhi,2019-08-24,188,262,194,21,24,1
Delhi,2019-08-25,211,117,368,76,5,2
Delhi,2019-08-26,173,149,160,37,36,3
Delhi,2019-08-27,215,90,202,52,41,3
Delhi,2019-08-28,170,87,347,45,38,4
Delhi,2019-08-29,213,91,329,96,26,1
Delhi,2019-08-30,229,217,228,51,11,2
Delhi,2019-08-31,186,259,83,97,29,1
Delhi,2019-09-01,202,132,398,64,32,4
Delhi,2019-09-02,241,136,229,79,5,1
Delhi,2019-09-03,210,125,324,42,25,1
Delhi,2019-09-04,237,128,177,87,37,1
Delhi,2019-09-05,198,267,330,63,23,2
Delhi,2019-09-06,216,267,283,88,39,2
Delhi,2019-09-07,239,217,273,29,35,1
Delhi,2019-09-08,220,237,88,25,27,4
Delhi,2019-09-09,249,253,307,52,36,3
Delhi,2019-09-10,198,255,388,51,39,2
Delhi,2019-09-11,224,126,244,98,13,4
Delhi,2019-09-12,191,211,275,51,32,3
Delhi,2019-09-13,243,217,397,87,25,2
Delhi,2019-09-14,192,101,390,50,33,4
Delhi,2019-09-15,195,61,299,25,48,0
Delhi,2019-09-16,239,252,354,36,25,2
Delhi,2019-09-17,231,168,256,93,9,4
Delhi,2019-09-18,243,62,155,49,42,4
Delhi,2019-09-19,246,241,99,63,8,3
Delhi,2019-09-20,230,297,286,48,37,4
Delhi,2019-09-21,196,61,196,40,47,2
Delhi,2019-09-22,213,221,349,83,33,3
Delhi,2019-09-23,191,119,168,53,31,1
Delhi,2019-09-24,241,69,160,62,38,1
Delhi,2019-09-25,233,185,212,34,37,2
Delhi,2019-09-26,194,226,264,20,24,2
Delhi,2019-09-27,226,167,197,85,23,3
Delhi,2019-09-28,249,238,201,48,49,0
Delhi,2019-09-29,203,207,320,37,38,2
Delhi,2019-09-30,195,117,227,59,29,4
Delhi,2019-10-01,241,112,360,46,38,4
Delhi,2019-10-02,245,114,161,94,37,3
Delhi,2019-10-03,235,233,349,35,49,0
Delhi,2019-10-04,236,169,377,47,18,4
Delhi,2019-10-05,241,100,351,67,12,3
Delhi,2019-10-06,220,227,294,31,36,4
Delhi,2019-10-07,248,279,106,74,34,1
Delhi,2019-10-08,234,276,155,20,33,1
Delhi,2019-10-09,242,159,81,48,39,1
Delhi,2019-10-10,221,68,290,26,22,0
Delhi,2019-10-11,242,221,105,46,12,4
Delhi,2019-10-12,247,157,382,88,22,1
Delhi,2019-10-13,231,248,386,32,24,4
Delhi,2019-10-14,208,96,203,76,22,0
Delhi,2019-10-15,195,223,156,68,23,3
Delhi,2019-10-16,209,125,85,78,28,0
Delhi,2019-10-17,208,197,148,44,30,2
Delhi,2019-10-18,231,185,232,78,29,1
Delhi,2019-10-19,239,82,242,62,6,1
Delhi,2019-10-20,242,207,356,56,49,4
Delhi,2019-10-21,209,172,131,64,37,2
Delhi,2019-10-22,190,197,114,59,41,3
Delhi,2019-10-23,249,286,207,79,5,1
Delhi,2019-10-24,192,142,154,71,18,2
Delhi,2019-10-25,221,60,162,24,9,3
Delhi,2019-10-26,200,84,149,97,9,3
Delhi,2019-10-27,204,146,88,96,23,1
Delhi,2019-10-28,191,164,322,90,32,0
Delhi,2019-10-29,205,179,163,28,46,4
Delhi,2019-10-30,240,77,157,70,23,4
Delhi,2019-10-31,226,262,395,57,27,4
Delhi,2019-11-01,261,90,106,89,15,2
Delhi,2019-11-02,281,269,136,37,40,4
Delhi,2019-11-03,292,285,277,94,33,3
Delhi,2019-11-04,279,201,369,57,14,4
Delhi,2019-11-05,295,201,222,38,40,1
Delhi,2019-11-06,244,67,231,42,24,1
Delhi,2019-11-07,295,147,108,73,30,0
Delhi,2019-11-08,276,246,291,41,28,2
Delhi,2019-11-09,245,221,375,61,30,1
Delhi,2019-11-10,270,220,331,25,25,1
Delhi,2019-11-11,271,278,126,50,13,3
Delhi,2019-11-12,272,108,215,49,35,0
Delhi,2019-11-13,276,146,250,26,18,2
Delhi,2019-11-14,246,275,182,28,13,1
Delhi,2019-11-15,250,245,142,45,14,3
Delhi,2019-11-16,256,140,224,20,21,4
Delhi,2019-11-17,247,118,395,50,41,4
Delhi,2019-11-18,292,66,229,52,35,4
Delhi,2019-11-19,265,189,251,69,6,3
Delhi,2019-11-20,295,279,366,81,18,4
Delhi,2019-11-21,296,282,91,94,13,0
Delhi,2019-11-22,274,123,272,37,16,0
Delhi,2019-11-23,299,104,375,74,9,4
Delhi,2019-11-24,279,169,218,91,22,0
Delhi,2019-11-25,264,297,202,69,40,1
Delhi,2019-11-26,247,206,324,98,36,0
Delhi,2019-11-27,288,96,329,40,31,0
Delhi,2019-11-28,259,52,192,37,23,0
Delhi,2019-11-29,244,186,263,30,35,1
Delhi,2019-11-30,272,135,140,51,12,4
Delhi,2019-12-01,254,66,183,61,20,2
Delhi,2019-12-02,258,70,298,64,38,3
Delhi,2019-12-03,277,119,376,30,45,4
Delhi,2019-12-04,245,135,300,71,10,0
Delhi,2019-12-05,263,124,105,80,23,4
Delhi,2019-12-06,282,243,176,76,38,0
Delhi,2019-12-07,260,55,93,49,37,3
Delhi,2019-12-08,270,128,359,30,16,1
Delhi,2019-12-09,248,227,338,37,8,2
Delhi,2019-12-10,240,216,84,52,45,2
Delhi,2019-12-11,279,178,136,24,11,0
Delhi,2019-12-12,268,171,176,24,18,2
Delhi,2019-12-13,256,258,243,98,43,3
Delhi,2019-12-14,246,174,171,61,9,3
Delhi,2019-12-15,283,199,256,25,46,4
Delhi,2019-12-16,266,143,386,56,42,0
Delhi,2019-12-17,252,229,372,72,33,3
Delhi,2019-12-18,266,119,266,60,37,0
Delhi,2019-12-19,293,244,218,45,12,3
Delhi,2019-12-20,283,251,174,47,46,3
Delhi,2019-12-21,251,292,367,42,15,2
Delhi,2019-12-22,287,229,289,51,41,2
Delhi,2019-12-23,262,71,326,20,47,2
Delhi,2019-12-24,269,245,102,38,35,0
Delhi,2019-12-25,294,126,297,95,19,1
Delhi,2019-12-26,284,138,346,26,29,1
Delhi,2019-12-27,299,62,318,66,41,0
Delhi,2019-12-28,253,274,388,39,47,0
Delhi,2019-12-29,261,144,300,49,22,3
Delhi,2019-12-30,279,210,293,83,39,4
Delhi,2019-12-31,276,255,96,27,28,1
Delhi,2020-01-01,271,275,231,24,45,4
Delhi,2020-01-02,297,106,383,74,6,2
Delhi,2020-01-03,246,107,120,53,47,4
Delhi,2020-01-04,257,240,198,49,26,4
Delhi,2020-01-05,279,278,172,54,35,4
Delhi,2020-01-06,295,250,84,53,47,3
Delhi,2020-01-07,255,60,125,28,36,4
Delhi,2020-01-08,246,217,125,30,38,2
Delhi,2020-01-09,294,181,80,25,25,0
Delhi,2020-01-10,292,249,84,26,24,4
Delhi,2020-01-11,253,191,84,39,41,0
Delhi,2020-01-12,245,185,155,38,14,0
Delhi,2020-01-13,255,261,360,63,17,1
Delhi,2020-01-14,240,248,167,21,37,3
Delhi,2020-01-15,297,135,366,95,49,0
Delhi,2020-01-16,277,198,199,44,6,1
Delhi,2020-01-17,292,214,376,25,32,2
Delhi,2020-01-18,246,244,195,71,41,2
Delhi,2020-01-19,298,238,293,46,17,2
Delhi,2020-01-20,280,58,188,35,24,4
Delhi,2020-01-21,297,231,90,90,29,2
Delhi,2020-01-22,272,299,233,27,9,4
Delhi,2020-01-23,262,194,126,75,38,2
Delhi,2020-01-24,269,299,354,61,24,1
Delhi,2020-01-25,255,256,306,32,38,1
Delhi,2020-01-26,294,255,264,32,33,3
Delhi,2020-01-27,242,66,245,77,36,4
Delhi,2020-01-28,292,231,341,68,6,3
Delhi,2020-01-29,263,166,257,91,35,0
Delhi,2020-01-30,297,86,132,55,40,2
Delhi,2020-01-31,250,76,286,49,41,1
Delhi,2020-02-01,205,246,322,98,32,2
Delhi,2020-02-02,245,134,221,69,7,1
Delhi,2020-02-03,216,73,304,48,15,3
Delhi,2020-02-04,202,78,355,87,21,0
Delhi,2020-02-05,226,146,304,95,27,3
Delhi,2020-02-06,201,256,195,34,16,0
Delhi,2020-02-07,243,286,245,36,11,0
Delhi,2020-02-08,239,113,107,98,19,2
Delhi,2020-02-09,239,225,291,53,38,4
Delhi,2020-02-10,202,53,194,90,37,2
Delhi,2020-02-11,220,299,87,93,40,3
Delhi,2020-02-12,197,219,215,54,47,3
Delhi,2020-02-13,235,101,383,25,35,1
Delhi,2020-02-14,225,290,372,56,37,0
Delhi,2020-02-15,227,201,305,76,38,1
Delhi,2020-02-16,240,213,346,56,34,0
Delhi,2020-02-17,216,258,220,43,16,1
Delhi,2020-02-18,202,284,97,92,12,3
Delhi,2020-02-19,236,175,306,98,38,2
Delhi,2020-02-20,192,185,112,50,30,1
Delhi,2020-02-21,228,135,130,38,14,4
Delhi,2020-02-22,212,77,366,72,16,2
Delhi,2020-02-23,222,169,112,39,13,1
Delhi,2020-02-24,211,255,365,61,11,0
Delhi,2020-02-25,230,210,194,51,16,3
Delhi,2020-02-26,243,274,151,69,48,0
Delhi,2020-02-27,220,242,94,84,8,1
Delhi,2020-02-28,209,261,118,87,8,4
Delhi,2020-02-29,219,65,233,45,28,1
Delhi,2020-03-01,195,90,364,86,28,3
Delhi,2020-03-02,234,100,215,84,30,1
Delhi,2020-03-03,248,95,98,98,48,0
Delhi,2020-03-04,192,261,362,85,38,4
Delhi,2020-03-05,211,231,211,91,36,2
Delhi,2020-03-06,231,227,234,52,23,4
Delhi,2020-03-07,216,125,150,45,19,4
Delhi,2020-03-08,200,75,339,80,47,0
Delhi,2020-03-09,206,281,396,34,23,1
Delhi,2020-03-10,237,52,358,93,47,1
Delhi,2020-03-11,226,54,354,37,17,0
Delhi,2020-03-12,228,261,233,74,17,2
Delhi,2020-03-13,197,248,379,54,25,0
Delhi,2020-03-14,195,273,264,79,19,1
Delhi,2020-03-15,223,230,257,83,46,0
Delhi,2020-03-16,238,217,380,32,7,3
Delhi,2020-03-17,196,131,309,48,28,4
Delhi,2020-03-18,214,190,215,81,31,3
Delhi,2020-03-19,190,135,360,40,39,2
Delhi,2020-03-20,248,209,81,85,29,0
Delhi,2020-03-21,223,288,369,89,30,2
Delhi,2020-03-22,210,295,303,78,39,2
Delhi,2020-03-23,218,279,373,81,49,4
Delhi,2020-03-24,191,195,206,69,7,3
Delhi,2020-03-25,212,80,368,25,17,0
Delhi,2020-03-26,238,268,372,79,44,4
Delhi,2020-03-27,246,74,380,94,10,2
Delhi,2020-03-28,245,140,119,75,39,2
Delhi,2020-03-29,242,184,390,92,26,4
Delhi,2020-03-30,247,133,112,30,43,0
Delhi,2020-03-31,222,150,132,29,47,0
Delhi,2020-04-01,220,155,143,59,18,3
Delhi,2020-04-02,218,165,171,29,43,1
Delhi,2020-04-03,246,177,344,52,48,1
Delhi,2020-04-04,247,164,186,20,35,2
Delhi,2020-04-05,208,281,171,94,37,4
Delhi,2020-04-06,220,167,265,63,16,0
Delhi,2020-04-07,202,182,261,35,24,1
Delhi,2020-04-08,209,284,343,57,37,4
Delhi,2020-04-09,226,202,130,49,46,4
Delhi,2020-04-10,246,112,396,37,9,1
Delhi,2020-04-11,228,99,260,99,33,1
Delhi,2020-04-12,223,72,344,50,41,4
Delhi,2020-04-13,229,287,391,85,27,3
Delhi,2020-04-14,202,66,383,47,23,4
Delhi,2020-04-15,235,197,317,21,5,4
Delhi,2020-04-16,222,66,371,97,21,4
Delhi,2020-04-17,226,110,391,92,7,1
Delhi,2020-04-18,239,235,301,53,26,3
Delhi,2020-04-19,233,235,391,90,28,4
Delhi,2020-04-20,191,108,368,83,43,2
Delhi,2020-04-21,232,82,221,95,12,3
Delhi,2020-04-22,211,261,162,89,34,2
Delhi,2020-04-23,198,230,325,36,33,3
Delhi,2020-04-24,201,101,354,36,8,4
Delhi,2020-04-25,238,259,217,69,8,1
Delhi,2020-04-26,211,267,109,77,5,3
Delhi,2020-04-27,229,88,137,44,23,4
Delhi,2020-04-28,237,69,81,20,14,1
Delhi,2020-04-29,202,296,203,74,49,4
Delhi,2020-04-30,230,108,206,23,47,3
Delhi,2020-05-01,233,100,347,60,22,2
Delhi,2020-05-02,210,176,92,23,46,0
Delhi,2020-05-03,235,250,200,26,7,1
Delhi,2020-05-04,246,156,184,41,29,0
Delhi,2020-05-05,227,53,110,82,33,2
Delhi,2020-05-06,210,266,353,90,8,4
Delhi,2020-05-07,238,183,102,20,15,4
Delhi,2020-05-08,238,182,112,63,19,3
Delhi,2020-05-09,205,136,390,99,7,1
Delhi,2020-05-10,220,227,192,76,47,2
Delhi,2020-05-11,194,240,399,99,32,3
Delhi,2020-05-12,206,291,296,39,31,0
Delhi,2020-05-13,211,237,188,65,10,2
Delhi,2020-05-14,246,223,100,76,8,3
Delhi,2020-05-15,211,213,358,30,13,3
Delhi,2020-05-16,241,162,198,29,45,0
Delhi,2020-05-17,245,227,247,28,49,0
Delhi,2020-05-18,200,169,301,31,37,1
Delhi,2020-05-19,203,52,221,74,23,0
Delhi,2020-05-20,211,64,82,93,45,3
Delhi,2020-05-21,235,114,386,92,9,2
Delhi,2020-05-22,194,289,214,80,16,2
Delhi,2020-05-23,235,194,217,99,21,1
Delhi,2020-05-24,196,193,148,89,45,4
Delhi,2020-05-25,219,208,397,92,27,1
Delhi,2020-05-26,223,141,347,45,17,1
Delhi,2020-05-27,200,215,168,74,34,0
Delhi,2020-05-28,241,216,374,52,30,0
Delhi,2020-05-29,200,50,246,26,39,3
Delhi,2020-05-30,192,256,281,94,42,3
Delhi,2020-05-31,245,212,362,65,35,0
Delhi,2020-06-01,184,90,394,49,19,1
Delhi,2020-06-02,188,158,264,62,44,2
Delhi,2020-06-03,189,80,152,56,24,2
Delhi,2020-06-04,224,232,186,56,44,0
Delhi,2020-06-05,215,60,120,41,28,2
Delhi,2020-06-06,186,73,368,63,26,2
Delhi,2020-06-07,178,84,390,28,11,4
Delhi,2020-06-08,191,196,89,55,34,2
Delhi,2020-06-09,220,133,339,78,41,0
Delhi,2020-06-10,223,146,178,36,25,3
Delhi,2020-06-11,178,81,222,60,18,3
Delhi,2020-06-12,220,190,201,64,15,2
Delhi,2020-06-13,200,182,158,89,9,2
Delhi,2020-06-14,217,130,148,38,35,4
Delhi,2020-06-15,194,176,216,75,25,3
Delhi,2020-06-16,193,140,278,70,40,0
Delhi,2020-06-17,191,80,327,99,33,2
Delhi,2020-06-18,191,180,129,89,44,2
Delhi,2020-06-19,188,93,106,76,48,1
Delhi,2020-06-20,193,77,112,24,12,2
Delhi,2020-06-21,199,61,230,95,14,0
Delhi,2020-06-22,212,70,354,96,49,3
Delhi,2020-06-23,193,214,88,82,11,0
Delhi,2020-06-24,221,267,143,92,48,2
Delhi,2020-06-25,178,76,137,25,20,4
Delhi,2020-06-26,180,145,301,57,9,3
Delhi,2020-06-27,213,243,262,29,36,2
Delhi,2020-06-28,182,280,256,71,40,2
Delhi,2020-06-29,215,125,278,76,44,2
Delhi,2020-06-30,224,271,192,35,18,3
Delhi,2020-07-01,170,162,311,54,8,3
Delhi,2020-07-02,192,159,242,20,14,3
Delhi,2020-07-03,172,58,142,57,38,1
Delhi,2020-07-04,191,139,107,56,14,1
Delhi,2020-07-05,184,135,302,50,23,2
Delhi,2020-07-06,213,187,137,43,32,4
Delhi,2020-07-07,207,296,294,31,17,0
Delhi,2020-07-08,201,78,262,63,33,3
Delhi,2020-07-09,189,83,206,62,22,0
Delhi,2020-07-10,227,183,394,90,16,1
Delhi,2020-07-11,170,145,379,47,21,4
Delhi,2020-07-12,210,204,225,53,11,0
Delhi,2020-07-13,223,121,225,42,31,0
Delhi,2020-07-14,207,286,159,89,38,4
Delhi,2020-07-15,191,250,186,86,49,3
Delhi,2020-07-16,198,136,378,78,36,4
Delhi,2020-07-17,199,51,212,71,28,1
Delhi,2020-07-18,203,132,320,29,29,1
Delhi,2020-07-19,205,144,361,77,48,4
Delhi,2020-07-20,198,81,351,26,44,2
Delhi,2020-07-21,201,272,191,45,31,4
Delhi,2020-07-22,192,207,211,30,31,3
Delhi,2020-07-23,208,244,176,83,46,4
Delhi,2020-07-24,204,91,394,54,45,2
Delhi,2020-07-25,214,109,287,77,12,4
Delhi,2020-07-26,203,223,220,49,25,4
Delhi,2020-07-27,185,131,199,32,29,4
Delhi,2020-07-28,192,64,333,79,22,4
Delhi,2020-07-29,205,209,149,60,23,0
Delhi,2020-07-30,178,269,298,52,19,2
Delhi,2020-07-31,219,131,390,63,30,3
Delhi,2020-08-01,171,67,143,98,42,1
Delhi,2020-08-02,201,66,130,23,43,4
